site_index,award
23,  برنده ی جایزه ی پولیتزر سال ۱۹۶۳ 
47,  برنده جایزه پولیتزر 
47,  برنده جایزه ی نمایشنامه ی حلقه ی منتقدین نیویورک سال 1987 
47,  برنده جایزه Tony سال 1987 
61,  نامزد جایزه کتاب ناشر مستقل سال 1999 
61,  برنده جایزه خواننده گرند کنیون سال 1998 
61,  نامزد مدال خوانندگان جوان کالیفرنیا سال 1998 
61,  برنده جایزه سکویا اوکلاهما سال 1998 
